,code,name,date,weight
0,300146,汤臣倍健,2017-06-01,0.09
1,002230,科大讯飞,2017-06-01,0.3
2,600585,海螺水泥,2017-06-01,0.44
3,600570,恒生电子,2017-06-01,0.18
4,002195,二三四五,2017-06-01,0.1
5,000983,西山煤电,2017-06-01,0.12
6,000938,紫光股份,2017-06-01,0.08
7,002415,海康威视,2017-06-01,0.79
8,002008,大族激光,2017-06-01,0.27
9,002024,苏宁云商,2017-06-01,0.39
10,300033,同花顺,2017-06-01,0.14
11,600038,中直股份,2017-06-01,0.1
12,600887,伊利股份,2017-06-01,1.21
13,002456,欧菲光,2017-06-01,0.31
14,600271,航天信息,2017-06-01,0.2
15,002450,康得新,2017-06-01,0.51
16,600588,用友网络,2017-06-01,0.11
17,002424,贵州百灵,2017-06-01,0.07
18,600498,烽火通信,2017-06-01,0.12
19,300085,银之杰,2017-06-01,0.05
20,002085,万丰奥威,2017-06-01,0.17
21,601607,上海医药,2017-06-01,0.31
22,300124,汇川技术,2017-06-01,0.23
23,601318,中国平安,2017-06-01,5.11
24,600446,金证股份,2017-06-01,0.08
25,603993,洛阳钼业,2017-06-01,0.16
26,002174,游族网络,2017-06-01,0.1
27,601601,中国太保,2017-06-01,0.99
28,600704,物产中大,2017-06-01,0.13
29,601127,小康股份,2017-06-01,0.03
30,601006,XD大秦铁,2017-06-01,0.51
31,000425,徐工机械,2017-06-01,0.15
32,000725,京东方Ａ,2017-06-01,0.94
33,601398,工商银行,2017-06-01,1.18
34,600718,XD东软集,2017-06-01,0.14
35,300024,机器人,2017-06-01,0.2
36,601888,中国国旅,2017-06-01,0.28
37,000977,浪潮信息,2017-06-01,0.11
38,600118,中国卫星,2017-06-01,0.16
39,601118,海南橡胶,2017-06-01,0.06
40,002241,歌尔股份,2017-06-01,0.32
41,000895,双汇发展,2017-06-01,0.22
42,300017,网宿科技,2017-06-01,0.16
43,600036,招商银行,2017-06-01,2.39
44,600066,宇通客车,2017-06-01,0.28
45,000630,铜陵有色,2017-06-01,0.17
46,600804,鹏博士,2017-06-01,0.19
47,600157,永泰能源,2017-06-01,0.18
48,000423,东阿阿胶,2017-06-01,0.36
49,002714,牧原股份,2017-06-01,0.08
50,601225,陕西煤业,2017-06-01,0.12
51,601336,新华保险,2017-06-01,0.46
52,002152,广电运通,2017-06-01,0.09
53,000413,东旭光电,2017-06-01,0.19
54,600900,长江电力,2017-06-01,1.02
55,600703,三安光电,2017-06-01,0.4
56,600068,葛洲坝,2017-06-01,0.28
57,600153,建发股份,2017-06-01,0.2
58,600739,辽宁成大,2017-06-01,0.21
59,600816,安信信托,2017-06-01,0.2
60,002470,金正大,2017-06-01,0.11
61,002236,大华股份,2017-06-01,0.29
62,000627,天茂集团,2017-06-01,0.09
63,002797,第一创业,2017-06-01,0.04
64,603885,吉祥航空,2017-06-01,0.06
65,600276,恒瑞医药,2017-06-01,0.88
66,600074,保千里,2017-06-01,0.12
67,002153,石基信息,2017-06-01,0.07
68,000793,华闻传媒,2017-06-01,0.21
69,000768,中航飞机,2017-06-01,0.24
70,002568,百润股份,2017-06-01,0.03
71,000333,美的集团,2017-06-01,1.69
72,000623,吉林敖东,2017-06-01,0.2
73,601600,中国铝业,2017-06-01,0.29
74,601288,农业银行,2017-06-01,1.41
75,600362,江西铜业,2017-06-01,0.13
76,600352,浙江龙盛,2017-06-01,0.22
77,002500,山西证券,2017-06-01,0.11
78,601111,中国国航,2017-06-01,0.21
79,000738,航发控制,2017-06-01,0.09
80,002292,奥飞娱乐,2017-06-01,0.08
81,600583,海油工程,2017-06-01,0.14
82,600170,上海建工,2017-06-01,0.16
83,600376,首开股份,2017-06-01,0.12
84,600660,福耀玻璃,2017-06-01,0.35
85,600783,鲁信创投,2017-06-01,0.05
86,002142,宁波银行,2017-06-01,0.37
87,600482,中国动力,2017-06-01,0.09
88,600893,航发动力,2017-06-01,0.19
89,601928,凤凰传媒,2017-06-01,0.07
90,600674,川投能源,2017-06-01,0.22
91,601958,金钼股份,2017-06-01,0.07
92,600827,百联股份,2017-06-01,0.13
93,600741,华域汽车,2017-06-01,0.26
94,601333,广深铁路,2017-06-01,0.15
95,600637,东方明珠,2017-06-01,0.28
96,002081,金 螳 螂,2017-06-01,0.16
97,000002,万 科Ａ,2017-06-01,1.47
98,601021,春秋航空,2017-06-01,0.09
99,601939,建设银行,2017-06-01,0.44
100,601899,紫金矿业,2017-06-01,0.37
101,000063,中兴通讯,2017-06-01,0.48
102,601866,中远海发,2017-06-01,0.11
103,600737,中粮糖业,2017-06-01,0.09
104,000156,华数传媒,2017-06-01,0.08
105,000338,潍柴动力,2017-06-01,0.28
106,300058,蓝色光标,2017-06-01,0.1
107,600048,保利地产,2017-06-01,0.71
108,600867,通化东宝,2017-06-01,0.21
109,601628,中国人寿,2017-06-01,0.49
