,code,name,date,weight
0,000997,新 大 陆,2017-06-01,0.36
1,002640,跨境通,2017-06-01,0.22
2,600801,华新水泥,2017-06-01,0.11
3,002405,四维图新,2017-06-01,0.41
4,002437,誉衡药业,2017-06-01,0.16
5,000050,深天马Ａ,2017-06-01,0.25
6,000786,北新建材,2017-06-01,0.33
7,600198,大唐电信,2017-06-01,0.21
8,600180,瑞茂通,2017-06-01,0.1
9,000513,丽珠集团,2017-06-01,0.24
10,000937,冀中能源,2017-06-01,0.17
11,000401,冀东水泥,2017-06-01,0.3
12,002073,软控股份,2017-06-01,0.14
13,600183,生益科技,2017-06-01,0.22
14,600596,新安股份,2017-06-01,0.11
15,600291,西水股份,2017-06-01,0.16
16,002657,中科金财,2017-06-01,0.15
17,600879,航天电子,2017-06-01,0.32
18,002019,亿帆医药,2017-06-01,0.22
19,600496,精工钢构,2017-06-01,0.16
20,002589,瑞康医药,2017-06-01,0.19
21,600872,中炬高新,2017-06-01,0.25
22,600537,亿晶光电,2017-06-01,0.12
23,600981,汇鸿集团,2017-06-01,0.05
24,600388,龙净环保,2017-06-01,0.33
25,000552,靖远煤电,2017-06-01,0.13
26,600428,中远海特,2017-06-01,0.14
27,600499,科达洁能,2017-06-01,0.24
28,600433,冠豪高新,2017-06-01,0.11
29,002482,广田集团,2017-06-01,0.13
30,600536,中国软件,2017-06-01,0.15
31,002118,紫鑫药业,2017-06-01,0.09
32,000669,金鸿能源,2017-06-01,0.15
33,300274,阳光电源,2017-06-01,0.19
34,600161,天坛生物,2017-06-01,0.33
35,002498,汉缆股份,2017-06-01,0.13
36,000761,本钢板材,2017-06-01,0.04
37,002001,新 和 成,2017-06-01,0.26
38,603005,晶方科技,2017-06-01,0.09
39,603369,今世缘,2017-06-01,0.12
40,002273,水晶光电,2017-06-01,0.28
41,600056,中国医药,2017-06-01,0.37
42,601231,环旭电子,2017-06-01,0.24
43,000488,晨鸣纸业,2017-06-01,0.29
44,600516,方大炭素,2017-06-01,0.3
45,600487,亨通光电,2017-06-01,0.58
46,002221,东华能源,2017-06-01,0.25
47,000090,天健集团,2017-06-01,0.18
48,600335,国机汽车,2017-06-01,0.09
49,600395,盘江股份,2017-06-01,0.12
50,603025,大豪科技,2017-06-01,0.03
51,300159,新研股份,2017-06-01,0.3
52,603567,珍宝岛,2017-06-01,0.08
53,002063,远光软件,2017-06-01,0.13
54,300166,东方国信,2017-06-01,0.17
55,000006,深振业Ａ,2017-06-01,0.22
56,002050,三花智控,2017-06-01,0.27
57,002223,鱼跃医疗,2017-06-01,0.31
58,600176,中国巨石,2017-06-01,0.33
59,002503,搜于特,2017-06-01,0.17
60,600699,均胜电子,2017-06-01,0.31
61,300122,智飞生物,2017-06-01,0.24
62,601010,文峰股份,2017-06-01,0.15
63,002512,达华智能,2017-06-01,0.18
64,600597,光明乳业,2017-06-01,0.2
65,600380,健康元,2017-06-01,0.18
66,600645,中源协和,2017-06-01,0.18
67,002727,一心堂,2017-06-01,0.12
68,600600,青岛啤酒,2017-06-01,0.26
69,002408,齐翔腾达,2017-06-01,0.24
70,600418,江淮汽车,2017-06-01,0.27
71,002051,中工国际,2017-06-01,0.24
72,002030,达安基因,2017-06-01,0.27
73,000825,太钢不锈,2017-06-01,0.25
74,002416,爱施德,2017-06-01,0.08
75,002022,科华生物,2017-06-01,0.2
76,600426,华鲁恒升,2017-06-01,0.33
77,002233,塔牌集团,2017-06-01,0.11
78,601689,拓普集团,2017-06-01,0.18
79,000028,国药一致,2017-06-01,0.31
80,600628,新世界,2017-06-01,0.12
81,600058,五矿发展,2017-06-01,0.14
82,601168,西部矿业,2017-06-01,0.35
83,600584,长电科技,2017-06-01,0.4
84,600729,重庆百货,2017-06-01,0.17
85,600079,人福医药,2017-06-01,0.49
86,600835,上海机电,2017-06-01,0.18
87,600682,南京新百,2017-06-01,0.44
88,002078,太阳纸业,2017-06-01,0.23
89,002161,远 望 谷,2017-06-01,0.11
90,600416,湘电股份,2017-06-01,0.19
91,603019,中科曙光,2017-06-01,0.26
92,002315,焦点科技,2017-06-01,0.08
93,600651,飞乐音响,2017-06-01,0.15
94,000528,柳 工,2017-06-01,0.17
95,002002,鸿达兴业,2017-06-01,0.19
96,603169,兰石重装,2017-06-01,0.11
97,002093,国脉科技,2017-06-01,0.09
98,600687,刚泰控股,2017-06-01,0.21
99,600522,中天科技,2017-06-01,0.58
100,000878,云南铜业,2017-06-01,0.26
101,600410,华胜天成,2017-06-01,0.2
102,600971,恒源煤电,2017-06-01,0.1
103,600831,广电网络,2017-06-01,0.09
104,002690,美亚光电,2017-06-01,0.14
105,000158,常山股份,2017-06-01,0.21
106,600053,九鼎投资,2017-06-01,0.12
107,000810,创维数字,2017-06-01,0.15
108,000078,海王生物,2017-06-01,0.26
109,002428,云南锗业,2017-06-01,0.12
110,002353,杰瑞股份,2017-06-01,0.21
111,600755,厦门国贸,2017-06-01,0.27
112,002106,莱宝高科,2017-06-01,0.15
113,600809,山西汾酒,2017-06-01,0.22
114,002345,潮宏基,2017-06-01,0.11
115,601908,京运通,2017-06-01,0.08
116,002332,仙琚制药,2017-06-01,0.11
117,600435,北方导航,2017-06-01,0.27
118,002018,华信国际,2017-06-01,0.16
119,600348,阳泉煤业,2017-06-01,0.2
120,600169,太原重工,2017-06-01,0.17
121,600850,XD华东电,2017-06-01,0.12
122,000519,中兵红箭,2017-06-01,0.18
123,601678,滨化股份,2017-06-01,0.15
124,600720,祁连山,2017-06-01,0.13
125,002698,博实股份,2017-06-01,0.08
126,000860,顺鑫农业,2017-06-01,0.2
127,000723,美锦能源,2017-06-01,0.07
128,300287,飞利信,2017-06-01,0.18
129,002251,步 步 高,2017-06-01,0.09
130,002092,中泰化学,2017-06-01,0.39
131,000547,航天发展,2017-06-01,0.26
132,000025,特 力Ａ,2017-06-01,0.05
133,002444,巨星科技,2017-06-01,0.22
134,600436,片仔癀,2017-06-01,0.46
135,002368,太极股份,2017-06-01,0.15
136,000066,中国长城,2017-06-01,0.43
137,600811,东方集团,2017-06-01,0.25
138,600098,广州发展,2017-06-01,0.16
139,600315,上海家化,2017-06-01,0.42
140,603589,口子窖,2017-06-01,0.3
141,600125,铁龙物流,2017-06-01,0.21
142,002491,通鼎互联,2017-06-01,0.26
143,600026,中远海能,2017-06-01,0.24
144,002431,棕榈股份,2017-06-01,0.25
145,600219,南山铝业,2017-06-01,0.49
146,002646,青青稞酒,2017-06-01,0.08
147,600618,氯碱化工,2017-06-01,0.06
148,002573,清新环境,2017-06-01,0.32
149,002479,富春环保,2017-06-01,0.15
150,300026,红日药业,2017-06-01,0.29
151,002344,海宁皮城,2017-06-01,0.12
152,002005,德豪润达,2017-06-01,0.12
153,000829,天音控股,2017-06-01,0.16
154,000919,金陵药业,2017-06-01,0.09
155,002665,首航节能,2017-06-01,0.25
156,002745,木林森,2017-06-01,0.07
157,600601,方正科技,2017-06-01,0.21
158,603001,奥康国际,2017-06-01,0.08
159,002190,成飞集成,2017-06-01,0.12
160,600993,马应龙,2017-06-01,0.17
161,002277,友阿股份,2017-06-01,0.15
162,000975,银泰资源,2017-06-01,0.22
163,300010,立思辰,2017-06-01,0.15
164,000652,泰达股份,2017-06-01,0.15
165,000612,焦作万方,2017-06-01,0.18
166,603198,迎驾贡酒,2017-06-01,0.12
167,000926,福星股份,2017-06-01,0.19
168,600572,康恩贝,2017-06-01,0.23
169,600039,四川路桥,2017-06-01,0.2
170,000592,平潭发展,2017-06-01,0.16
171,300199,翰宇药业,2017-06-01,0.19
172,601311,骆驼股份,2017-06-01,0.16
173,600108,亚盛集团,2017-06-01,0.18
174,000848,承德露露,2017-06-01,0.16
175,600307,酒钢宏兴,2017-06-01,0.23
176,002340,格林美,2017-06-01,0.36
177,000021,深科技,2017-06-01,0.17
178,603766,隆鑫通用,2017-06-01,0.2
179,300039,上海凯宝,2017-06-01,0.13
180,300147,香雪制药,2017-06-01,0.13
181,600017,日照港,2017-06-01,0.22
182,002281,光迅科技,2017-06-01,0.18
183,600757,长江传媒,2017-06-01,0.12
184,603868,飞科电器,2017-06-01,0.07
185,300324,旋极信息,2017-06-01,0.29
186,002354,天神娱乐,2017-06-01,0.14
187,002191,劲嘉股份,2017-06-01,0.23
188,600184,光电股份,2017-06-01,0.07
189,600425,*ST青松,2017-06-01,0.07
190,002123,梦网荣信,2017-06-01,0.14
191,600062,华润双鹤,2017-06-01,0.26
192,600750,江中药业,2017-06-01,0.17
193,601777,力帆股份,2017-06-01,0.14
194,600067,冠城大通,2017-06-01,0.18
195,000417,合肥百货,2017-06-01,0.12
196,600594,益佰制药,2017-06-01,0.26
197,601929,吉视传媒,2017-06-01,0.2
198,002342,巨力索具,2017-06-01,0.22
199,000581,威孚高科,2017-06-01,0.35
200,600717,天津港,2017-06-01,0.28
201,002707,众信旅游,2017-06-01,0.13
202,603568,伟明环保,2017-06-01,0.08
203,300257,开山股份,2017-06-01,0.17
204,000680,山推股份,2017-06-01,0.14
205,600266,北京城建,2017-06-01,0.38
206,600611,大众交通,2017-06-01,0.18
207,000861,海印股份,2017-06-01,0.11
208,603555,贵人鸟,2017-06-01,0.07
209,300202,聚龙股份,2017-06-01,0.13
210,002254,泰和新材,2017-06-01,0.15
211,002269,美邦服饰,2017-06-01,0.13
212,000598,兴蓉环境,2017-06-01,0.27
213,600862,中航高科,2017-06-01,0.11
214,600787,中储股份,2017-06-01,0.23
215,600765,中航重机,2017-06-01,0.16
216,002602,世纪华通,2017-06-01,0.28
217,600497,驰宏锌锗,2017-06-01,0.27
218,600284,浦东建设,2017-06-01,0.16
219,600292,远达环保,2017-06-01,0.12
220,000685,中山公用,2017-06-01,0.22
221,600970,中材国际,2017-06-01,0.26
222,002194,武汉凡谷,2017-06-01,0.06
223,002477,雏鹰农牧,2017-06-01,0.19
224,000596,古井贡酒,2017-06-01,0.15
225,002373,千方科技,2017-06-01,0.2
226,000400,许继电气,2017-06-01,0.27
227,600776,东方通信,2017-06-01,0.09
228,002551,尚荣医疗,2017-06-01,0.1
229,002414,高德红外,2017-06-01,0.09
230,603698,航天工程,2017-06-01,0.08
231,000830,鲁西化工,2017-06-01,0.17
232,000012,南 玻Ａ,2017-06-01,0.22
233,000897,津滨发展,2017-06-01,0.17
234,000999,华润三九,2017-06-01,0.33
235,000988,华工科技,2017-06-01,0.23
236,600586,金晶科技,2017-06-01,0.12
237,000939,凯迪生态,2017-06-01,0.21
238,603188,亚邦股份,2017-06-01,0.16
239,600770,综艺股份,2017-06-01,0.15
240,600805,悦达投资,2017-06-01,0.13
241,600216,浙江医药,2017-06-01,0.15
242,002056,横店东磁,2017-06-01,0.15
243,600187,国中水务,2017-06-01,0.18
244,002308,威创股份,2017-06-01,0.17
245,000979,中弘股份,2017-06-01,0.25
246,002179,中航光电,2017-06-01,0.3
247,601699,XD潞安环,2017-06-01,0.23
248,601000,唐山港,2017-06-01,0.32
249,600773,西藏城投,2017-06-01,0.12
250,600565,迪马股份,2017-06-01,0.22
251,600166,福田汽车,2017-06-01,0.36
252,002375,亚厦股份,2017-06-01,0.19
253,600863,内蒙华电,2017-06-01,0.24
254,600064,南京高科,2017-06-01,0.22
255,600059,古越龙山,2017-06-01,0.12
256,600848,上海临港,2017-06-01,0.15
257,002317,众生药业,2017-06-01,0.15
258,600298,安琪酵母,2017-06-01,0.26
259,600500,中化国际,2017-06-01,0.26
260,002249,大洋电机,2017-06-01,0.06
261,600392,盛和资源,2017-06-01,0.18
262,600503,华丽家族,2017-06-01,0.26
263,600580,卧龙电气,2017-06-01,0.12
264,600220,江苏阳光,2017-06-01,0.13
265,000762,西藏矿业,2017-06-01,0.15
266,600528,中铁工业,2017-06-01,0.35
267,600826,兰生股份,2017-06-01,0.1
268,601016,节能风电,2017-06-01,0.09
269,002439,启明星辰,2017-06-01,0.3
270,600270,外运发展,2017-06-01,0.17
271,300253,卫宁健康,2017-06-01,0.22
272,600280,中央商场,2017-06-01,0.12
273,000931,中 关 村,2017-06-01,0.11
274,600874,创业环保,2017-06-01,0.22
275,300273,和佳股份,2017-06-01,0.19
276,000869,张 裕Ａ,2017-06-01,0.13
277,600864,哈投股份,2017-06-01,0.07
278,601002,晋亿实业,2017-06-01,0.11
279,000631,顺发恒业,2017-06-01,0.08
280,600088,中视传媒,2017-06-01,0.06
281,002595,豪迈科技,2017-06-01,0.24
282,600397,安源煤业,2017-06-01,0.07
283,603355,莱克电气,2017-06-01,0.12
284,600587,新华医疗,2017-06-01,0.15
285,600073,上海梅林,2017-06-01,0.16
286,600823,世茂股份,2017-06-01,0.15
287,600316,洪都航空,2017-06-01,0.17
288,600122,宏图高科,2017-06-01,0.29
289,600751,天海投资,2017-06-01,0.2
290,002238,天威视讯,2017-06-01,0.06
291,600664,哈药股份,2017-06-01,0.23
292,600894,广日股份,2017-06-01,0.14
293,600639,浦东金桥,2017-06-01,0.17
294,000777,中核科技,2017-06-01,0.17
295,600312,平高电气,2017-06-01,0.26
296,300032,金龙机电,2017-06-01,0.12
297,600138,中青旅,2017-06-01,0.31
298,000703,恒逸石化,2017-06-01,0.18
299,000620,新华联,2017-06-01,0.15
300,600748,上实发展,2017-06-01,0.11
301,000587,金洲慈航,2017-06-01,0.17
302,001696,宗申动力,2017-06-01,0.14
303,002588,史丹利,2017-06-01,0.1
304,002004,华邦健康,2017-06-01,0.31
305,600466,蓝光发展,2017-06-01,0.19
306,002176,江特电机,2017-06-01,0.24
307,000969,安泰科技,2017-06-01,0.11
308,600851,XD海欣股,2017-06-01,0.16
309,000541,佛山照明,2017-06-01,0.15
310,600917,重庆燃气,2017-06-01,0.04
311,600409,三友化工,2017-06-01,0.22
312,002581,未名医药,2017-06-01,0.16
313,600483,福能股份,2017-06-01,0.09
314,000930,中粮生化,2017-06-01,0.26
315,600086,东方金钰,2017-06-01,0.21
316,600160,巨化股份,2017-06-01,0.26
317,603377,东方时尚,2017-06-01,0.05
318,600200,XD江苏吴,2017-06-01,0.17
319,000960,锡业股份,2017-06-01,0.23
320,000806,银河生物,2017-06-01,0.21
321,002440,闰土股份,2017-06-01,0.19
322,300156,神雾环保,2017-06-01,0.5
323,600694,XD大商股,2017-06-01,0.18
324,603077,和邦生物,2017-06-01,0.16
325,601880,大连港,2017-06-01,0.24
326,601717,郑煤机,2017-06-01,0.19
327,601001,大同煤业,2017-06-01,0.12
328,600869,智慧能源,2017-06-01,0.12
329,600825,新华传媒,2017-06-01,0.1
330,600673,东阳光科,2017-06-01,0.35
331,600657,信达地产,2017-06-01,0.12
332,600655,豫园商城,2017-06-01,0.32
333,600643,爱建集团,2017-06-01,0.6
334,600635,大众公用,2017-06-01,0.28
335,600545,新疆城建,2017-06-01,0.16
336,600481,双良节能,2017-06-01,0.13
337,600468,百利电气,2017-06-01,0.06
338,600460,士兰微,2017-06-01,0.13
339,600300,维维股份,2017-06-01,0.16
340,600289,亿阳信通,2017-06-01,0.14
341,600277,亿利洁能,2017-06-01,0.18
