,time,price,pchange,change,volume,amount,type
0,15:00:00,4.84,-1.63,0.0,0,0,卖盘
1,15:00:00,4.84,-1.63,-0.01,2,968,卖盘
2,14:59:59,4.85,-1.42,0.0,572,277420,买盘
3,14:59:56,4.85,-1.42,0.01,1175,569875,买盘
4,14:59:53,4.84,-1.63,-0.01,209,101156,卖盘
5,14:59:50,4.85,-1.42,0.0,263,127555,买盘
6,14:59:47,4.85,-1.42,0.01,46,22310,买盘
7,14:59:44,4.84,-1.63,0.0,105,50820,卖盘
8,14:59:41,4.84,-1.63,-0.01,7,3388,卖盘
9,14:59:38,4.85,-1.42,0.0,60,29100,买盘
10,14:59:35,4.85,-1.42,0.01,136,65960,买盘
11,14:59:32,4.84,-1.63,-0.01,544,263296,卖盘
12,14:59:29,4.85,-1.42,0.01,71,34435,买盘
13,14:59:26,4.84,-1.63,0.0,237,114708,卖盘
14,14:59:23,4.84,-1.63,0.0,119,57596,卖盘
15,14:59:20,4.84,-1.63,-0.01,1038,502392,卖盘
16,14:59:17,4.85,-1.42,0.0,94,45590,买盘
17,14:59:14,4.85,-1.42,0.0,31,15035,买盘
18,14:59:11,4.85,-1.42,0.0,20,9700,买盘
19,14:59:08,4.85,-1.42,0.0,45,21825,买盘
20,14:59:05,4.85,-1.42,0.01,22,10670,买盘
21,14:59:02,4.84,-1.63,0.0,549,265716,卖盘
22,14:58:59,4.84,-1.63,-0.01,1111,537724,卖盘
23,14:58:56,4.85,-1.42,0.01,39,18915,买盘
24,14:58:53,4.84,-1.63,0.0,1084,524656,卖盘
25,14:58:50,4.84,-1.63,-0.01,45,21780,卖盘
26,14:58:47,4.85,-1.42,0.0,260,126100,买盘
27,14:58:44,4.85,-1.42,0.01,131,63535,买盘
28,14:58:41,4.84,-1.63,0.0,96,46464,卖盘
29,14:58:38,4.84,-1.63,-0.01,108,52272,卖盘
30,14:58:32,4.85,-1.42,0.0,17,8245,买盘
31,14:58:29,4.85,-1.42,0.01,1011,490335,买盘
32,14:58:26,4.84,-1.63,-0.01,97,46948,卖盘
33,14:58:23,4.85,-1.42,0.01,3198,1551030,买盘
34,14:58:20,4.84,-1.63,0.0,287,138908,卖盘
35,14:58:17,4.84,-1.63,-0.01,20,9680,卖盘
36,14:58:14,4.85,-1.42,0.0,121,58685,买盘
37,14:58:11,4.85,-1.42,0.0,33,16005,买盘
38,14:58:08,4.85,-1.42,0.0,180,87300,买盘
39,14:58:05,4.85,-1.42,0.0,270,130950,买盘
40,14:58:02,4.85,-1.42,0.01,62,30070,买盘
41,14:57:59,4.84,-1.63,0.0,37,17908,卖盘
42,14:57:56,4.84,-1.63,0.0,126,60984,卖盘
43,14:57:53,4.84,-1.63,-0.01,437,211508,卖盘
44,14:57:50,4.85,-1.42,0.0,17,8245,买盘
45,14:57:47,4.85,-1.42,0.0,47,22795,买盘
46,14:57:44,4.85,-1.42,0.0,108,52380,买盘
47,14:57:41,4.85,-1.42,0.0,288,139680,买盘
48,14:57:38,4.85,-1.42,0.0,61,29585,买盘
49,14:57:35,4.85,-1.42,0.0,163,79055,买盘
50,14:57:32,4.85,-1.42,0.0,10,4850,买盘
