,date,open,close,high,low,volume,code
0,2014-08-04,3.986,4.002,4.022,3.971,12954.0,2436
1,2014-08-05,4.007,4.05,4.05,3.989,10199.0,2436
2,2014-08-06,4.052,4.121,4.129,4.019,13291.0,2436
3,2014-08-07,4.116,3.994,4.116,3.986,17617.0,2436
4,2014-08-08,3.973,4.06,4.067,3.973,7929.0,2436
5,2014-08-11,4.088,4.166,4.167,4.063,19294.0,2436
6,2014-08-12,4.175,4.198,4.225,4.101,16116.0,2436
7,2014-08-13,4.198,4.223,4.243,4.088,19495.0,2436
8,2014-08-14,4.215,4.151,4.279,4.136,16495.0,2436
9,2014-08-15,4.159,4.324,4.436,4.154,51096.0,2436
10,2014-08-18,4.335,4.546,4.62,4.335,68653.0,2436
11,2014-08-19,4.569,4.747,4.757,4.475,69821.0,2436
12,2014-08-20,4.74,4.74,4.752,4.637,41718.0,2436
13,2014-08-21,4.727,4.645,4.727,4.597,29841.0,2436
14,2014-08-22,4.612,4.594,4.676,4.554,25272.0,2436
15,2014-08-25,4.609,4.589,4.678,4.559,13772.0,2436
16,2014-08-26,4.589,4.381,4.589,4.348,33278.0,2436
17,2014-08-27,4.38,4.414,4.447,4.337,16141.0,2436
18,2014-08-28,4.411,4.431,4.5,4.381,14479.0,2436
19,2014-08-29,4.444,4.562,4.576,4.416,16939.0,2436
20,2014-09-01,4.562,4.562,4.653,4.554,25194.0,2436
21,2014-09-02,4.562,4.678,4.727,4.554,33135.0,2436
22,2014-09-03,4.658,4.872,4.895,4.658,40572.0,2436
23,2014-09-04,4.834,4.819,4.87,4.808,20678.0,2436
24,2014-09-05,4.884,4.711,4.912,4.707,30594.0,2436
25,2014-09-09,4.722,4.762,4.859,4.628,22456.0,2436
26,2014-09-10,4.758,4.711,4.839,4.684,19211.0,2436
27,2014-09-11,4.696,4.727,4.763,4.678,21612.0,2436
28,2014-09-12,4.742,4.737,4.757,4.653,21246.0,2436
29,2014-09-15,4.76,4.76,4.785,4.656,18005.0,2436
30,2014-09-16,4.76,4.526,4.76,4.511,21755.0,2436
31,2014-09-17,4.579,4.602,4.612,4.381,16715.0,2436
32,2014-09-18,4.609,4.595,4.609,4.521,9729.0,2436
33,2014-09-19,4.587,4.712,4.726,4.533,13285.0,2436
34,2014-09-22,4.721,4.511,4.735,4.414,31491.0,2436
35,2014-09-23,4.516,4.526,4.579,4.48,15430.0,2436
36,2014-09-24,4.541,4.612,4.648,4.502,20803.0,2436
37,2014-09-25,4.614,4.819,4.826,4.614,44470.0,2436
38,2014-09-26,4.819,4.752,4.866,4.74,33941.0,2436
39,2014-09-29,4.645,4.838,4.898,4.645,51686.0,2436
40,2014-09-30,4.828,4.925,4.991,4.805,42175.0,2436
41,2014-10-08,4.926,5.113,5.155,4.895,48915.0,2436
42,2014-10-09,5.106,5.108,5.146,5.002,28098.0,2436
43,2014-10-10,5.053,5.073,5.177,5.032,17950.0,2436
44,2014-10-13,5.055,4.987,5.055,4.838,23100.0,2436
45,2014-10-14,5.004,5.024,5.086,4.95,12143.0,2436
46,2014-10-15,5.014,5.068,5.071,4.976,13739.0,2436
47,2014-10-16,5.073,4.925,5.124,4.908,21677.0,2436
48,2014-10-17,4.94,4.884,5.002,4.811,16038.0,2436
49,2014-10-20,4.875,4.931,4.953,4.859,13483.0,2436
50,2014-10-21,4.925,4.867,4.925,4.841,13643.0,2436
51,2014-10-22,4.917,4.963,4.968,4.777,12858.0,2436
52,2014-10-23,4.959,4.923,5.024,4.877,12644.0,2436
53,2014-10-24,4.875,4.925,4.991,4.859,8200.0,2436
54,2014-10-27,4.89,4.936,4.989,4.839,5956.0,2436
55,2014-10-28,4.936,5.305,5.353,4.936,47673.0,2436
56,2014-10-29,5.3,5.353,5.473,5.271,33707.0,2436
57,2014-10-30,5.317,5.304,5.399,5.188,24481.0,2436
