,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,1.661,9.79,9.62,9.97,9.61,9.63,3633780,1.57716,35598279,33.759,1.701,563904.0,225561.6
1,603998,方盛制药,-0.767,12.93,13.03,13.06,12.85,13.03,1615590,0.6002,20906035,80.813,5.917,557200.85571,348046.14546
2,603997,继峰股份,-0.261,11.46,11.45,11.53,11.24,11.49,7224202,4.22468,82441106,19.424,3.003,721980.0,195966.0
3,603996,中新科技,-0.696,15.7,15.81,15.92,15.65,15.81,916682,0.88761,14460119,40.256,3.372,471235.5,162141.75
4,603993,洛阳钼业,-2.49,7.05,7.17,7.25,6.91,7.23,282404592,2.1801,1996565686,117.5,6.158,15227464.611,9132380.1428
5,603991,至正股份,0.029,34.92,34.9,35.18,34.56,34.91,526600,2.81604,18402723,52.119,6.049,260276.213016,65300.4
6,603990,麦迪科技,-1.629,33.81,33.81,34.48,33.5,34.37,400800,2.004,13554638,45.08,6.933,273621.9633,67620.0
7,603989,艾华集团,-0.913,36.91,37.44,37.44,36.9,37.25,1153142,1.36669,42720526,41.943,5.959,1107300.0,311428.125
8,603988,中电电机,-1.027,60.69,61.32,61.57,60.45,61.32,111200,0.49643,6756162,202.3,7.413,485520.0,135945.6
9,603987,康德莱,-0.287,13.9,13.95,13.98,13.68,13.94,1171403,1.48467,16213498,22.419,2.513,438454.65,109671.0
10,603986,兆易创新,8.312,77.01,71.1,77.64,70.65,71.1,3203367,6.40673,236165887,36.375,5.722,1560946.44779,385050.0
11,603985,恒润股份,-0.143,42.0,42.08,42.23,41.2,42.06,1005313,5.02657,42006628,26.606,5.49,336000.0,84000.0
12,603980,吉华集团,3.996,23.42,22.56,23.98,22.48,22.52,13019410,13.01941,305132975,24.498,4.592,1171000.0,234200.0
13,603979,金诚信,-0.594,13.39,13.4,13.46,13.2,13.47,5355866,2.20261,71509829,31.881,1.615,783315.0,325591.66848
14,603977,国泰集团,-0.303,16.44,16.47,16.55,16.28,16.49,1959600,3.54486,32168868,27.864,3.647,363455.52,90880.32
15,603969,银龙股份,3.726,17.54,16.9,17.86,16.64,16.91,19595442,12.83848,340562757,48.722,4.316,701600.0,267713.897
16,603968,醋化股份,0.209,24.03,24.25,25.15,23.96,23.98,8434384,6.17451,206778080,33.375,3.743,491365.44,328249.8
17,603966,法兰泰克,1.544,19.07,18.53,19.59,18.53,18.78,2486343,6.21586,47477153,40.574,3.926,305120.0,76280.0
18,603960,克来机电,-1.007,37.35,37.52,38.18,36.5,37.73,1055642,5.27821,39414587,62.25,7.243,298800.0,74700.0
19,603959,百利科技,-1.343,20.57,20.87,20.87,20.18,20.85,2288111,2.22853,46820518,38.811,5.211,460768.0,211199.440925
20,603958,哈森股份,-0.099,20.17,20.24,20.26,20.07,20.19,1922172,2.91243,38712433,47.683,3.626,438415.12,133119.974932
21,603955,大千生态,0.527,38.14,38.25,38.25,37.73,37.94,714488,3.285,27148998,35.725,3.371,331818.0,82954.5
22,603939,益丰药房,-1.043,33.2,33.58,33.6,33.0,33.55,782950,0.39403,25988526,50.075,3.972,1204146.26456,659692.82456
23,603938,三孚股份,3.243,27.38,26.2,27.9,26.16,26.52,12280879,32.69966,333386914,38.028,5.618,411156.1508,102829.9708
24,603936,博敏电子,-0.77,24.49,24.63,24.87,24.19,24.68,608647,1.08493,14871839,76.771,4.331,409840.15,137388.9
25,603933,睿能科技,3.846,48.87,47.07,48.96,46.92,47.06,5190816,20.22133,248915843,40.279,8.837,501748.29,125449.29
26,603929,亚翔集成,-0.385,20.68,20.7,20.88,20.41,20.76,1424500,2.6696,29421361,20.078,4.674,441228.48,110348.48
27,603928,兴业股份,0.122,16.44,16.42,16.49,16.2,16.42,1179600,2.34048,19262926,24.176,3.127,331430.4,82857.6
28,603926,铁流股份,0.138,29.05,29.1,29.2,28.66,29.01,1055789,3.5193,30508323,23.427,4.966,348600.0,87150.0
29,603920,世运电路,0.152,19.77,19.73,19.84,19.55,19.74,2225895,2.50664,43888938,23.259,6.419,794358.6,175557.6
30,603919,金徽酒,-1.7,21.39,21.58,21.8,21.11,21.76,5875629,5.07226,125503890,25.165,4.537,778596.0,247778.44455
31,603918,金桥信息,0.847,21.43,21.25,21.46,21.12,21.25,706466,0.57276,15034770,133.938,7.642,380007.475,264326.192
32,603909,合诚股份,-0.98,28.29,28.5,28.5,28.01,28.57,1134000,4.536,32002856,42.792,4.81,282900.0,70725.0
33,603908,牧高笛,-0.118,42.3,42.35,42.46,41.5,42.35,398000,2.38466,16781010,44.526,6.319,282098.7,70598.7
34,603906,龙蟠科技,1.114,19.06,18.77,19.1,18.77,18.85,2272633,4.37045,43032795,33.439,3.514,396448.0,99112.0
35,603903,中持股份,3.575,38.53,37.3,38.97,37.0,37.2,3565021,13.9207,136470464,63.164,5.978,394693.614,98673.4035
36,603901,永创智能,0.363,11.07,10.95,11.13,10.93,11.03,1518298,0.98591,16735792,50.318,4.851,442800.0,170478.0
37,603900,通灵珠宝,0.358,30.86,30.75,30.99,30.45,30.75,1252625,2.06028,38487577,26.153,3.516,750501.6216,187625.4054
38,603899,晨光文具,2.149,17.59,17.25,17.78,17.16,17.22,2926746,1.30658,51320204,32.829,6.234,1618280.0,394016.0
39,603898,好莱客,1.517,32.79,32.85,33.2,32.62,32.3,1573400,1.76779,51726343,38.128,8.274,1043109.85979,291844.116
40,603896,寿仙谷,7.125,34.13,31.67,34.85,31.38,31.86,5990508,17.14022,196957289,44.325,8.045,477137.4,119284.35
